image_index,dominant_wavelength_km,dominant_theta_deg,pt1,pt2,pt3,pt4,pt5,pt6,pt7
36,10.678718833360275,84.99999999999999,-0.19534614257204086,0.5883025908273141,0.9788774589317475,0.8867233447371772,0.37193751421229204,-0.3221914315590534,-0.8683790879835178
37,10.678718833360277,75.0,-0.1786330465910122,0.5403716366692217,0.9140892354195989,0.8342693645654384,0.3900853590766231,-0.2311295390867344,-0.7388422653729194
38,10.678718833360277,75.0,-0.11327491151469804,0.6456494625581493,0.982582903416386,0.8263540776475757,0.29181787429341277,-0.3835283006030865,-0.862481410518217
39,10.678718833360277,75.0,-0.18597244426612813,0.5634340579671184,0.9052176136010412,0.8281585547334731,0.3582199802746011,-0.2730244054025952,-0.7670147600265048
40,10.678718833360277,75.0,-0.21814501156592148,0.5542741455106162,0.9350623875409305,0.879168883251759,0.43284878852428044,-0.20235435441009675,-0.7763929098418878
41,10.079368399158986,75.0,-0.2023343899259482,0.5301409371487822,0.9261168893352065,0.8578241648290976,0.38222539421037593,-0.26624699160993204,-0.8090876847388067
42,10.678718833360277,75.0,-0.2759894119167674,0.5178556479437764,0.9374293984718434,0.8731758301497863,0.4296288682244811,-0.257033012296382,-0.8346410377329576
43,10.678718833360277,75.0,-0.13902293854817993,0.6127410369290143,0.9466404209219985,0.7740849293413794,0.26859273361337155,-0.35598803882206087,-0.842490716532334
44,10.079368399158986,84.99999999999999,-0.28663897547475004,0.46508328496081464,0.9115756088933982,0.8710543843218286,0.37111243797576043,-0.31714969269976845,-0.8495783292012614
45,10.079368399158986,84.99999999999999,-0.22730052384407262,0.4833436591629443,0.8980586806971527,0.8242106757589489,0.33179517906989764,-0.3518852788701474,-0.8597518748682086
