saber_lat,saber_lon,saber_alt,saber_temp,saber_time,saber_local_time,saber_file,saber_i,saber_j,awe_lat,awe_lon,awe_temp_nearest,awe_temp_avg,awe_MLCloud_nearest,awe_time_nearest,awe_local_time_nearest,awe_file_nearest,awe_x_nearest,distance_km_nearest,peak_altitude_km,fwhm_center_km,fwhm_width_km,z_left_km,z_right_km,count_in_window,z_effective_km,T_weighted_K,T_weighted_std_K,saber_profile_mean_local_time_h,delta_temp_simple_K,delta_temp_weighted_K,delta_temp_simple_nearest_K,delta_temp_weighted_nearest_K,awe_temp_std,awe_count_used
39.90969849,-175.7206268,87.29167938,211.4882813,2024-01-11T07:51:06.605000,20.137,SABER_L2A_2024011_119845_02.08.nc,37,192,37.96868515,-173.6712189,208.9400024,215.5514627,22,2024-01-11T07:50:14.515431,20.259,awe_l3a_tmp_2024011T0746_00780_v01.nc,141,283.0816805,83.6,85.07,8.88,80.63,89.5,68,83.71,217.09,7.72,20.15,-4.063181435,1.538537315,2.548278809,8.149997559,3.941927795,82
39.90742493,-175.7102203,86.92256927,211.8603973,2024-01-11T07:51:06.651000,20.138,SABER_L2A_2024011_119845_02.08.nc,37,193,37.96868515,-173.6712189,208.9400024,215.5514627,22,2024-01-11T07:50:14.515431,20.259,awe_l3a_tmp_2024011T0746_00780_v01.nc,141,282.3071579,83.6,85.07,8.88,80.63,89.5,68,83.71,217.09,7.72,20.15,-3.691065346,1.538537315,2.920394897,8.149997559,3.941927795,82
39.90507889,-175.6998138,86.55332947,212.3601379,2024-01-11T07:51:06.698000,20.139,SABER_L2A_2024011_119845_02.08.nc,37,194,37.96868515,-173.6712189,208.9400024,215.5514627,22,2024-01-11T07:50:14.515431,20.259,awe_l3a_tmp_2024011T0746_00780_v01.nc,141,281.52738,83.6,85.07,8.88,80.63,89.5,68,83.71,217.09,7.72,20.15,-3.191324746,1.538537315,3.420135498,8.149997559,3.941927795,82
36.40110779,-175.7538147,87.38584137,203.7336121,2024-01-11T07:52:07.679000,20.152,SABER_L2A_2024011_119845_02.08.nc,38,192,36.53083038,-175.9374695,217.1000061,210.344899,18,2024-01-11T07:49:40.991919,20.099,awe_l3a_tmp_2024011T0746_00780_v01.nc,115,22.15680104,83.34,84.8,9.58,80.01,89.59,68,83.55,215.35,14.14,20.16,-6.611286926,5.005101013,-13.36639404,-1.750006104,6.366738005,100
36.4042511,-175.7439117,87.01824188,204.7298737,2024-01-11T07:52:07.633000,20.153,SABER_L2A_2024011_119845_02.08.nc,38,193,36.53083038,-175.9374695,217.1000061,210.344899,18,2024-01-11T07:49:40.991919,20.099,awe_l3a_tmp_2024011T0746_00780_v01.nc,115,22.61347734,83.34,84.8,9.58,80.01,89.59,68,83.55,215.35,14.14,20.16,-5.61502533,5.005101013,-12.37013245,-1.750006104,6.366738005,100
36.40739822,-175.7339935,86.65053558,206.3313293,2024-01-11T07:52:07.588000,20.153,SABER_L2A_2024011_119845_02.08.nc,38,194,36.58692932,-175.8519135,217.7400055,210.344899,18,2024-01-11T07:49:42.281285,20.105,awe_l3a_tmp_2024011T0746_00780_v01.nc,116,22.88312701,83.34,84.8,9.58,80.01,89.59,68,83.55,215.35,14.14,20.16,-4.013569641,5.005101013,-11.40867615,-2.390005493,6.366738005,100
32.41380692,-175.673996,87.40008545,206.6914978,2024-01-11T07:53:17.180000,20.177,SABER_L2A_2024011_119845_02.08.nc,39,192,34.99346542,-178.2015991,206.6499939,205.8799996,33,2024-01-11T07:49:06.179040,19.938,awe_l3a_tmp_2024011T0746_00780_v01.nc,88,375.0879272,85.56,86.47,8.48,82.23,90.71,68,85.59,205.12,8.8,20.19,0.811498237,-0.759999565,0.041503906,-1.529993896,7.433186175,66
32.41197586,-175.664444,87.03161621,208.6089172,2024-01-11T07:53:17.225000,20.177,SABER_L2A_2024011_119845_02.08.nc,39,193,34.99346542,-178.2015991,206.6499939,205.8799996,33,2024-01-11T07:49:06.179040,19.938,awe_l3a_tmp_2024011T0746_00780_v01.nc,88,375.8155759,85.56,86.47,8.48,82.23,90.71,68,85.59,205.12,8.8,20.19,2.728917671,-0.759999565,1.95892334,-1.529993896,7.433186175,66
32.41014099,-175.654892,86.6630249,209.8931427,2024-01-11T07:53:17.269000,20.178,SABER_L2A_2024011_119845_02.08.nc,39,194,34.99346542,-178.2015991,206.6499939,205.8799996,33,2024-01-11T07:49:06.179040,19.938,awe_l3a_tmp_2024011T0746_00780_v01.nc,88,376.5444198,85.56,86.47,8.48,82.23,90.71,68,85.59,205.12,8.8,20.19,4.013143135,-0.759999565,3.243148804,-1.529993896,7.433186175,66
39.03798676,159.8884888,87.42073822,209.4134216,2024-01-11T09:28:00.502000,20.126,SABER_L2A_2024011_119846_02.08.nc,38,191,38.02095413,162.7155151,202.1900024,203.9899979,49,2024-01-11T09:23:00.505027,20.231,awe_l3a_tmp_2024011T0920_00781_v01.nc,124,274.3486769,84.84,86.13,7.73,82.26,89.99,68,84.87,211.16,8.72,20.14,5.423423767,7.170002136,7.223419189,8.969997559,1.006436795,10
39.04100418,159.898819,87.0530777,209.4465637,2024-01-11T09:28:00.457000,20.127,SABER_L2A_2024011_119846_02.08.nc,38,192,38.02095413,162.7155151,202.1900024,203.9899979,49,2024-01-11T09:23:00.505027,20.231,awe_l3a_tmp_2024011T0920_00781_v01.nc,124,273.6594707,84.84,86.13,7.73,82.26,89.99,68,84.87,211.16,8.72,20.14,5.456565857,7.170002136,7.256561279,8.969997559,1.006436795,10
39.04397583,159.9091492,86.68530273,209.2683105,2024-01-11T09:28:00.413000,20.127,SABER_L2A_2024011_119846_02.08.nc,38,193,38.02095413,162.7155151,202.1900024,203.9899979,49,2024-01-11T09:23:00.505027,20.231,awe_l3a_tmp_2024011T0920_00781_v01.nc,124,272.9699484,84.84,86.13,7.73,82.26,89.99,68,84.87,211.16,8.72,20.14,5.278312683,7.170002136,7.078308105,8.969997559,1.006436795,10
23.34687996,-99.27062988,87.29901886,215.9527893,2024-01-06T03:54:05.784000,21.284,SABER_L2A_2024006_119768_02.08.nc,42,190,24.49954033,-100.6553726,206.9299927,206.7457972,7,2024-01-06T03:58:37.030825,21.267,awe_l3a_tmp_2024006T0352_00700_v01.nc,269,192.9580364,86.93,87.11,6.97,83.63,90.59,68,86.94,211.81,8.04,21.3,9.206992108,5.064202801,9.022796631,4.880007324,2.429376329,69
23.35058784,-99.26220703,86.93218994,215.1264954,2024-01-06T03:54:05.739000,21.284,SABER_L2A_2024006_119768_02.08.nc,42,191,24.49954033,-100.6553726,206.9299927,206.7457972,7,2024-01-06T03:58:37.030825,21.267,awe_l3a_tmp_2024006T0352_00700_v01.nc,269,193.3187929,86.93,87.11,6.97,83.63,90.59,68,86.94,211.81,8.04,21.3,8.380698163,5.064202801,8.196502686,4.880007324,2.429376329,69
23.35427856,-99.2538147,86.56525421,214.4611816,2024-01-06T03:54:05.694000,21.285,SABER_L2A_2024006_119768_02.08.nc,42,192,24.49954033,-100.6553726,206.9299927,206.7826471,7,2024-01-06T03:58:37.030825,21.267,awe_l3a_tmp_2024006T0352_00700_v01.nc,269,193.682583,86.93,87.11,6.97,83.63,90.59,68,86.94,211.81,8.04,21.3,7.678534564,5.027352923,7.531188965,4.880007324,2.427955006,68
30.80698395,-124.1135406,87.44808197,193.3908234,2024-01-06T05:28:34.034000,21.202,SABER_L2A_2024006_119769_02.08.nc,40,191,27.98186684,-120.6580811,190.9400024,192.0816667,8,2024-01-06T05:32:33.943521,21.499,awe_l3a_tmp_2024006T0525_00701_v01.nc,316,465.2865356,89.28,90.01,7.32,86.35,93.67,68,89.29,188.11,5.07,21.22,1.30915663,-3.971666734,2.450820923,-2.830002441,3.111315783,36
30.81044769,-124.1043854,87.08107758,191.7605896,2024-01-06T05:28:33.988000,21.202,SABER_L2A_2024006_119769_02.08.nc,40,192,27.98186684,-120.6580811,190.9400024,192.0016216,8,2024-01-06T05:32:33.943521,21.499,awe_l3a_tmp_2024006T0525_00701_v01.nc,316,464.8949303,89.28,90.01,7.32,86.35,93.67,68,89.29,188.11,5.07,21.22,-0.241031956,-3.891621556,0.820587158,-2.830002441,3.106334956,37
30.81385994,-124.0952301,86.71369934,189.5158386,2024-01-06T05:28:33.943000,21.203,SABER_L2A_2024006_119769_02.08.nc,40,193,27.98186684,-120.6580811,190.9400024,192.148684,8,2024-01-06T05:32:33.943521,21.499,awe_l3a_tmp_2024006T0525_00701_v01.nc,316,464.5011823,89.28,90.01,7.32,86.35,93.67,68,89.29,188.11,5.07,21.22,-2.632845427,-4.03868405,-1.424163818,-2.830002441,3.19305503,38
26.75212479,-123.8808746,87.15734863,189.6160889,2024-01-06T05:29:44.966000,21.237,SABER_L2A_2024006_119769_02.08.nc,41,191,25.90922737,-122.834816,190.8000031,191.7254168,10,2024-01-06T05:31:52.683813,21.342,awe_l3a_tmp_2024006T0525_00701_v01.nc,284,142.0995289,88.99,89.17,6.24,86.05,92.29,68,89,189.73,8.68,21.25,-2.109327952,-1.995416819,-1.183914185,-1.070003052,2.447328865,96
26.75060272,-123.8717957,86.78955078,187.9927521,2024-01-06T05:29:45.011000,21.238,SABER_L2A_2024006_119769_02.08.nc,41,192,25.90922737,-122.834816,190.8000031,191.7254168,10,2024-01-06T05:31:52.683813,21.342,awe_l3a_tmp_2024006T0525_00701_v01.nc,284,141.3041682,88.99,89.17,6.24,86.05,92.29,68,89,189.73,8.68,21.25,-3.732664744,-1.995416819,-2.807250977,-1.070003052,2.447328865,96
23.3236599,-123.630127,87.39758301,190.537323,2024-01-06T05:30:45.066000,21.271,SABER_L2A_2024006_119769_02.08.nc,42,190,24.1353569,-124.6115341,194.9499969,191.0981447,25,2024-01-06T05:31:17.870935,21.214,awe_l3a_tmp_2024006T0525_00701_v01.nc,257,136.4722,87.76,88.49,6.59,85.19,91.79,68,87.77,191.31,3.77,21.29,-0.560821691,0.211855311,-4.41267395,-3.639996948,2.29238277,97
23.32748032,-123.6217346,87.03102112,192.8917389,2024-01-06T05:30:45.020000,21.271,SABER_L2A_2024006_119769_02.08.nc,42,191,24.1353569,-124.6115341,194.9499969,191.0981447,25,2024-01-06T05:31:17.870935,21.214,awe_l3a_tmp_2024006T0525_00701_v01.nc,257,136.8279126,87.76,88.49,6.59,85.19,91.79,68,87.77,191.31,3.77,21.29,1.793594203,0.211855311,-2.058258057,-3.639996948,2.29238277,97
