angle_deg,uncorrected_slope_min_per_km,uncorrected_intercept_minutes,uncorrected_speed_km_per_min,uncorrected_speed_m_per_s,uncorrected_r_squared,uncorrected_number_of_fit_points,corrected_slope_min_per_km,corrected_intercept_minutes,corrected_speed_km_per_min,corrected_speed_m_per_s,corrected_r_squared,corrected_number_of_fit_points
1.250000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00,nan,nan,nan,1.130000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00,nan,nan,nan,1.130000000000000000e+02
1.300000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00,nan,nan,nan,1.080000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00,nan,nan,nan,1.080000000000000000e+02
1.350000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00,nan,nan,nan,8.400000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,nan,nan,nan,8.400000000000000000e+01
1.400000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00,nan,nan,nan,8.800000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,nan,nan,nan,8.800000000000000000e+01
1.450000000000000000e+02,-1.399422530754313720e-01,5.112928613191369820e+00,-7.145804630292626136e+00,-1.190967438382104291e+02,8.589778364216323903e-01,2.140000000000000000e+02,-1.399422530754313720e-01,5.112928613191369820e+00,-7.145804630292626136e+00,-1.190967438382104291e+02,8.589778364216323903e-01,2.140000000000000000e+02
1.500000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00,nan,nan,nan,8.700000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,nan,nan,nan,8.700000000000000000e+01
1.550000000000000000e+02,-1.853131549808061801e-02,3.471537424636251257e-01,-5.396270977651721523e+01,-8.993784962752869205e+02,5.194021248587137318e-01,1.030000000000000000e+02,-1.853131549808061801e-02,3.471537424636251257e-01,-5.396270977651721523e+01,-8.993784962752869205e+02,5.194021248587137318e-01,1.030000000000000000e+02
1.600000000000000000e+02,-1.812390508042682064e-02,2.881032011466790332e-01,-5.517574692442882167e+01,-9.195957820738136661e+02,2.918027615545462083e-01,9.100000000000000000e+01,-1.812390508042682064e-02,2.881032011466790332e-01,-5.517574692442882167e+01,-9.195957820738136661e+02,2.918027615545462083e-01,9.100000000000000000e+01
1.650000000000000000e+02,-3.185734321779202377e-02,6.016830294530153278e-01,-3.138993710691823935e+01,-5.231656184486372467e+02,7.327188940092166369e-01,9.200000000000000000e+01,-3.185734321779202377e-02,6.016830294530153278e-01,-3.138993710691823935e+01,-5.231656184486372467e+02,7.327188940092166369e-01,9.200000000000000000e+01
1.700000000000000000e+02,-2.543860368483369036e-02,4.652729606459223288e-01,-3.931033371128749110e+01,-6.551722285214582371e+02,7.306532280588342587e-01,1.120000000000000000e+02,-2.543860368483369036e-02,4.652729606459223288e-01,-3.931033371128749110e+01,-6.551722285214582371e+02,7.306532280588342587e-01,1.120000000000000000e+02
