saber_lat,saber_lon,saber_alt,saber_temp,saber_time,saber_local_time_pm12,saber_file,saber_i,saber_j,awe_lat,awe_lon,awe_time_nearest,awe_local_time_nearest_pm12,awe_file_nearest,awe_x_nearest,awe_temp_nearest,awe_MLCloud_nearest,distance_km_nearest,awe_temp_avg,awe_temp_std,awe_count_used,awe_temp_avg_unfiltered,awe_temp_std_unfiltered,awe_count_unfiltered,peak_altitude_km,saber_profile_mean_local_time_h,m4_T_K_shift_m0p75,m4_T_std_K_shift_m0p75,m4_z_eff_km_shift_m0p75,delta_temp_m4_unfiltered_K_shift_m0p75,year,awe_ratio_used_over_unfiltered,awe_orbit
30.57785034,35.57904816,86.65999603,170.235321,2024-01-07T18:31:31.884000,-3.103,SABER_L2A_2024007_119792_02.08.nc,40,193,30.1709404,35.08661652,2024-01-07T18:41:31.487819,-2.969,awe_l3a_tmp_2024007T1835_00725_v01.nc,256,187.0099945,15,66.30604298,190.4618021,4.368460841,2436,190.4618021,4.368460841,2436,87.75,20.9,185.1,14.9,86.91,-5.361802083,2024,1,725
26.50972366,35.79909897,87.16388702,199.3925781,2024-01-07T18:32:43.033000,-3.068,SABER_L2A_2024007_119792_02.08.nc,41,192,28.66171455,33.36214447,2024-01-07T18:41:00.543038,-3.092,awe_l3a_tmp_2024007T1835_00725_v01.nc,232,182.2799988,4,343.6402342,189.9404105,5.98256028,3728,189.9404105,5.98256028,3728,88.08,20.93,192.31,7.02,87.72,2.369589537,2024,1,725
26.50829697,35.80814743,86.79600525,200.5609741,2024-01-07T18:32:43.077000,-3.067,SABER_L2A_2024007_119792_02.08.nc,41,193,28.66171455,33.36214447,2024-01-07T18:41:00.543038,-3.092,awe_l3a_tmp_2024007T1835_00725_v01.nc,232,182.2799988,4,344.3954607,189.9206188,5.978064888,3717,189.9206188,5.978064888,3717,88.08,20.93,192.31,7.02,87.72,2.389381171,2024,1,725
33.14627457,-13.25839233,87.45617676,184.0544891,2024-01-07T21:44:04.563000,-3.149,SABER_L2A_2024007_119794_02.08.nc,40,190,31.15981293,-10.97380161,2024-01-07T21:47:25.733628,-2.941,awe_l3a_tmp_2024007T2141_00727_v01.nc,252,179.25,12,312.4866598,179.7240666,1.975588487,3696,179.7240666,1.975588487,3696,88.73,20.85,170.85,18.1,88,-8.874066631,2024,1,727
33.14964294,-13.2489624,87.08914948,185.5432739,2024-01-07T21:44:04.518000,-3.149,SABER_L2A_2024007_119794_02.08.nc,40,191,31.15981293,-10.97380161,2024-01-07T21:47:25.733628,-2.941,awe_l3a_tmp_2024007T2141_00727_v01.nc,252,179.25,12,312.1295516,179.7227989,1.973865442,3698,179.7227989,1.973865442,3698,88.73,20.85,170.85,18.1,88,-8.872798881,2024,1,727
33.15288544,-13.23950195,86.72198486,185.6681366,2024-01-07T21:44:04.474000,-3.148,SABER_L2A_2024007_119794_02.08.nc,40,192,31.15981293,-10.97380161,2024-01-07T21:47:25.733628,-2.941,awe_l3a_tmp_2024007T2141_00727_v01.nc,252,179.25,12,311.7630024,179.7225014,1.973683914,3702,179.7225014,1.973683914,3702,88.73,20.85,170.85,18.1,88,-8.872501424,2024,1,727
29.08250618,-13.09088135,87.3201828,173.739563,2024-01-07T21:45:15.559000,-3.118,SABER_L2A_2024007_119794_02.08.nc,41,190,29.2272644,-13.23816776,2024-01-07T21:46:45.886668,-3.103,awe_l3a_tmp_2024007T2141_00727_v01.nc,221,179.4400024,4,21.82673208,183.13496,3.728609258,5623,183.13496,3.728609258,5623,86.94,20.88,180.45,12.05,86.7,-2.684960014,2024,1,727
29.08092117,-13.08163452,86.95243073,172.6222229,2024-01-07T21:45:15.604000,-3.118,SABER_L2A_2024007_119794_02.08.nc,41,191,29.2272644,-13.23816776,2024-01-07T21:46:45.886668,-3.103,awe_l3a_tmp_2024007T2141_00727_v01.nc,221,179.4400024,4,22.57192613,183.1326469,3.729757199,5618,183.1326469,3.729757199,5618,86.94,20.88,180.45,12.05,86.7,-2.682646875,2024,1,727
29.0792141,-13.0723877,86.58455658,172.9247742,2024-01-07T21:45:15.652000,-3.117,SABER_L2A_2024007_119794_02.08.nc,41,192,29.2272644,-13.23816776,2024-01-07T21:46:45.886668,-3.103,awe_l3a_tmp_2024007T2141_00727_v01.nc,221,179.4400024,4,23.34006041,183.133008,3.73227016,5615,183.133008,3.73227016,5615,86.94,20.88,180.45,12.05,86.7,-2.683008041,2024,1,727
25.65904045,-12.86813354,87.23097992,174.8279572,2024-01-07T21:46:15.467000,-3.087,SABER_L2A_2024007_119794_02.08.nc,42,191,27.57745743,-15.07111454,2024-01-07T21:46:12.466637,-3.235,awe_l3a_tmp_2024007T2141_00727_v01.nc,195,184.4700012,3,309.8794603,185.5755778,3.29134904,4170,185.5755778,3.29134904,4170,87.04,20.91,185.93,14.12,86.69,0.354422186,2024,1,727
