distance_km,best_shift_pixels,maximum_correlation
1.990000000000000000e+02,3.000000000000000000e+00,9.985555453113251767e-01
2.000000000000000000e+02,3.000000000000000000e+00,9.985914306988094014e-01
2.010000000000000000e+02,3.000000000000000000e+00,9.986317282508576643e-01
2.020000000000000000e+02,3.000000000000000000e+00,9.986633579884404144e-01
2.030000000000000000e+02,3.000000000000000000e+00,9.986845899126384207e-01
2.040000000000000000e+02,3.000000000000000000e+00,9.986966724392279948e-01
2.050000000000000000e+02,3.000000000000000000e+00,9.987003245276089292e-01
2.060000000000000000e+02,3.000000000000000000e+00,9.986957312125734898e-01
2.070000000000000000e+02,3.000000000000000000e+00,9.986831378458761455e-01
2.080000000000000000e+02,3.000000000000000000e+00,9.986635591655802502e-01
2.090000000000000000e+02,3.000000000000000000e+00,9.986390040487056474e-01
2.100000000000000000e+02,3.000000000000000000e+00,9.986116293615934225e-01
2.110000000000000000e+02,3.000000000000000000e+00,9.985824716245575994e-01
2.120000000000000000e+02,3.000000000000000000e+00,9.985514394509746872e-01
2.130000000000000000e+02,3.000000000000000000e+00,9.985186909043350934e-01
2.140000000000000000e+02,3.000000000000000000e+00,9.984855654806041869e-01
2.150000000000000000e+02,3.000000000000000000e+00,9.984542167318118944e-01
2.160000000000000000e+02,3.000000000000000000e+00,9.984266641133058284e-01
2.170000000000000000e+02,3.000000000000000000e+00,9.984037933743269422e-01
2.180000000000000000e+02,3.000000000000000000e+00,9.983846675625949185e-01
2.190000000000000000e+02,3.000000000000000000e+00,9.983668850144542528e-01
2.200000000000000000e+02,3.000000000000000000e+00,9.983479020582742836e-01
2.210000000000000000e+02,3.000000000000000000e+00,9.983261061901744782e-01
2.220000000000000000e+02,3.000000000000000000e+00,9.983008074817923960e-01
2.230000000000000000e+02,3.000000000000000000e+00,9.982715688791095054e-01
2.240000000000000000e+02,3.000000000000000000e+00,9.982382088419142763e-01
2.250000000000000000e+02,3.000000000000000000e+00,9.982020115491848644e-01
2.260000000000000000e+02,3.000000000000000000e+00,9.981667046401756505e-01
2.270000000000000000e+02,3.000000000000000000e+00,9.981375621478590920e-01
2.280000000000000000e+02,3.000000000000000000e+00,9.981186562381753058e-01
2.290000000000000000e+02,3.000000000000000000e+00,9.981099275117597536e-01
2.300000000000000000e+02,3.000000000000000000e+00,9.981065606841896809e-01
2.310000000000000000e+02,3.000000000000000000e+00,9.981017838694260513e-01
2.320000000000000000e+02,3.000000000000000000e+00,9.980910003856743318e-01
2.330000000000000000e+02,3.000000000000000000e+00,9.980736614649300398e-01
2.340000000000000000e+02,3.000000000000000000e+00,9.980515462542340899e-01
2.350000000000000000e+02,3.000000000000000000e+00,9.980258894210187748e-01
